Activated dendritic cell,Adipocyte,B cell,B10 Regulatory B cell,Basal gland mucous cell,CD4+ T cell,CD8 T cell,CD8+ T cell,CMP cell,Cancer cell,Cancer stem cell,Central memory T cell,Central memory T cell precursor,Chief cell,Cytotoxic T cell,Cytotoxic cell,Dendritic cell,Diffuse gastric cancer cell,Effector T(Teff) cell,Effector memory T cell,Endocrine cell,Endothelial cell,Enterocyte,Enteroendocrine cell,Eosinophil,Epithelial cell,Exhausted T(Tex) cell,Fibroblast,Gamma delta(¦Ã¦Ä) T cell,Gastric mucous neck cell,Gastric stem cell,Gland mucous cell,Goblet cell,HES1High progenitor cell,Immature dendritic cell,Intestinal gastric cancer cell,Intestinal metaplasia cell,Isthmus cell,Lymph vessel cell,M1 macrophage,M2 macrophage,Macrophage,Mast cell,Metaplastic-stem cell,Monocyte,Mucous pit cell,Multipotent progenitor cell,Myeloid cell,Myeloid dendritic cell,NECK cell,Natural killer CD56 bright cell,Natural killer CD56 dim cell,Natural killer cell,Neck cell,Neutrophil,Paneth cell,Parietal cell,Parietal progenitor cell,Pericyte,Pit cell,Pit mucous cell,Pit progenitor cell,Plasma cell,Proliferative cell,Proliferative cell (PC),Pyloric cell,Regulatory T (Treg) cell,Regulatory T(Treg) cell,Smooth muscle cell,Stem cell,Stem-like cell,T cell,T follicular helper(Tfh) cell,T helper 1(Th1) cell,T helper 17(Th17) cell,T helper 2(Th2) cell,T helper(Th) cell,Zymogenic chief cell
,,BLNK,,,,,,,,,,,,,,,,,,,,,,,,,S100A4,,,,,,,,,,,,,,CSF1R,,,,,DNAL4,,,,,,,,,,,,,,,RSPO3,,,,,,,,,,,,,,,,
,,MS4A1,,,,,,,,,,,,,,,,,,,,,,,,,DCN,,,,,,,,,,,,,,C1QB,,,,,,,,,,,,,,,,,,,,MVB12B,,,,,,,,,,,,,,,,
,,CD79A,,,,,,,,,,,,,,,,,,,,,,,,,LUM,,,,,,,,,,,,,,C1QA,,,,,,,,,,,,,,,,,,,,CFL2,,,,,,,,,,,,,,,,
,,CD79A,,,,,,,,,,,,,,,,,,,,,,,,,PDPN,,,,,,,,,,,,,,CD68,,,,,,,,,,,,,,,,,,,,CNN1,,,,,,,,,,,,,,,,
,,JCHAIN,,,,,,,,,,,,,,,,,,,,,,,,,CXCL14,,,,,,,,,,,,,,SPP1,,,,,,,,,,,,,,,,,,,,TNFAIP8,,,,,,,,,,,,,,,,
,,MZB1,,,,,,,,,,,,,,,,,,,,,,,,,COL1A2,,,,,,,,,,,,,,CD14,,,,,,,,,,,,,,,,,,,,LRP5,,,,,,,,,,,,,,,,
,,CD19,,,,,,,,,,,,,,,,,,,,,,,,,COL1A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHX35,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,DCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,FN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBSPON,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,IL6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMPER,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SFRP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIMM17A,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,PDGFRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICALL1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CXCL12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OLR1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MYL9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCL2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,MMP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CXCL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,CAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
